Jaar,Week,Overledenen,Verwacht_aantal_overledenen,Verwacht_aantal_overledenen_laag,Verwacht_aantal_overledenen_hoog
2021,7,3531,3441,2949,3934
2021,8,3205,3420,2884,3955
2021,9,3105,3384,2838,3931
2021,10,3244,3347,2817,3877
2021,11,3044,3285,2787,3782
2021,12,3046,3205,2742,3668
2021,13,3176,3134,2733,3535
2021,14,3165,3054,2741,3366
2021,15,3140,2986,2748,3224
2021,16,3144,2944,2739,3148
2021,17,3121,2897,2705,3088
2021,18,3008,2869,2677,3060
2021,19,3017,2849,2660,3037
2021,20,2990,2821,2653,2989
2021,21,2805,2797,2646,2947
2021,22,3010,2780,2635,2925
2021,23,2884,2762,2617,2906
2021,24,2870,2764,2627,2901
2021,25,2673,2751,2620,2882
2021,26,2792,2743,2603,2883
2021,27,2837,2750,2571,2929
2021,28,2873,2745,2541,2949
2021,29,2776,2747,2534,2960
2021,30,2916,2734,2541,2926
2021,31,2958,2713,2518,2908
2021,32,2841,2708,2509,2907
2021,33,2898,2695,2507,2883
2021,34,2927,2688,2535,2841
2021,35,2860,2693,2552,2833
2021,36,3093,2702,2575,2829
2021,37,2919,2724,2590,2858
2021,38,2890,2755,2612,2899
2021,39,3072,2778,2644,2912
2021,40,3072,2813,2655,2970
2021,41,3064,2835,2682,2987
2021,42,3275,2866,2705,3028
2021,43,3388,2889,2688,3090
2021,44,3518,2917,2711,3123
2021,45,3788,2930,2720,3139
2021,46,4005,2960,2738,3183
2021,47,4192,3001,2771,3231
2021,48,4395,3042,2791,3292
2021,49,4373,3066,2771,3361
2021,50,4053,3130,2830,3429
2021,51,3772,3196,2861,3531
2021,52,3689,3253,2902,3605
2022,1,3435,3321,2953,3690
2022,2,3157,3356,2975,3737
2022,3,3192,3390,2991,3788
2022,4,3202,3438,3054,3822
2022,5,3286,3454,3073,3835
2022,6,3254,3447,3025,3870
2022,7,3378,3455,2963,3947
2022,8,3351,3433,2898,3969
2022,9,3233,3397,2851,3944
2022,10,3387,3360,2830,3890
2022,11,3603,3298,2800,3795
2022,12,3631,3217,2754,3680
2022,13,3565,3146,2745,3547
2022,14,3575,3066,2753,3378
2022,15,3515,2997,2759,3235
2022,16,3235,2955,2751,3159
2022,17,3141,2908,2716,3100
2022,18,3129,2880,2689,3071
2022,19,3127,2860,2672,3048
2022,20,3057,2832,2664,3000
2022,21,2923,2808,2657,2958
2022,22,2962,2791,2645,2936
2022,23,2943,2773,2628,2917
2022,24,3012,2775,2637,2912
2022,25,3136,2762,2631,2893
2022,26,3102,2754,2614,2894
2022,27,2973,2760,2581,2940
2022,28,3089,2756,2552,2960
2022,29,3189,2758,2544,2971
2022,30,3133,2744,2552,2937
2022,31,2959,2724,2529,2918
2022,32,2985,2719,2520,2918
2022,33,3077,2705,2518,2893
2022,34,3039,2699,2546,2852
2022,35,2964,2703,2563,2843
2022,36,2937,2713,2586,2840
2022,37,2818,2735,2601,2869
2022,38,3016,2766,2622,2910
2022,39,3199,2789,2655,2923
2022,40,3307,2824,2666,2981
2022,41,3308,2846,2693,2998
2022,42,3365,2878,2716,3039
2022,43,3306,2901,2700,3102
2022,44,3226,2928,2722,3134
2022,45,3170,2941,2732,3151
2022,46,3206,2972,2749,3195
2022,47,3404,3013,2783,3243
2022,48,3425,3054,2803,3304
2022,49,3605,3078,2783,3373
2022,50,3985,3142,2842,3442
2022,51,4180,3209,2874,3544
2022,52,4098,3266,2915,3617
2023,1,4033,3346,2978,3715
2023,2,3868,3382,3000,3763
2023,3,3678,3415,3017,3814
2023,4,3443,3464,3080,3848
2023,5,3618,3480,3099,3861
2023,6,3448,3473,3051,3896
2023,7,3546,3481,2989,3973
2023,8,3443,3459,2924,3995
2023,9,3504,3423,2876,3969
2023,10,3780,3386,2856,3916
2023,11,3662,3323,2825,3820
2023,12,3566,3242,2778,3705
2023,13,3371,3170,2769,3571
2023,14,3258,3089,2776,3401
2023,15,3049,3020,2782,3258
2023,16,3207,2977,2773,3182
2023,17,2853,2930,2738,3122
2023,18,,2901,2710,3093
2023,19,,2881,2693,3069
2023,20,,2853,2685,3021
2023,21,,2829,2678,2979
2023,22,,2812,2666,2957
2023,23,,2794,2649,2938
2023,24,,2796,2658,2933
2023,25,,2783,2652,2913
